,upid,assembly_acc,assembly_version,wgs_acc,wgs_version,assembly_name,assembly_level,study_ref,description,total_length,ungapped_length,circular,ncbi_id,scientific_name,common_name,kingdom,num_rfam_regions,num_families,is_reference,is_representative,created,updated,_dlt_load_id,_dlt_id
10,RG000000012,GCF_000847825.1,1,,,,,,Bamboo mosaic virus,6366,,,35286,Bamboo mosaic virus,,viruses,0,0,1,0,2017-06-06T15:11:57.000Z,2020-04-23T11:46:31.000Z,1731962247.2272599,634blwVZS/D3Bw
11,RG000000013,GCF_000849085.1,1,,,,,,Rhopalosiphum padi virus,10011,,,66834,Rhopalosiphum padi virus,,viruses,0,0,1,0,2017-06-06T15:12:02.000Z,2020-04-23T11:47:29.000Z,1731962247.2272599,swnd19rBWrGFUA
12,RG000000016,GCF_000849285.2,2,,,,,,Soil-borne cereal mosaic virus,7025,,,100887,Soil-borne cereal mosaic virus,,viruses,0,0,1,0,2017-06-06T15:12:14.000Z,2020-04-23T11:48:01.000Z,1731962247.2272599,Dr9TsLi0+Nqmug
13,RG000000019,GCF_000853665.1,1,,,,,,Bovine leukemia virus,8419,,,11901,Bovine leukemia virus,,viruses,0,0,1,0,2017-06-06T15:12:26.000Z,2020-04-23T11:46:02.000Z,1731962247.2272599,DUs3T+COMiuHwg
14,RG000000020,GCF_000854685.1,1,,,,,,Chicory yellow mottle virus satellite RNA,457,,,192022,Chicory yellow mottle virus satellite RNA,,viruses,0,0,1,0,2017-06-06T15:12:33.000Z,2020-04-23T11:49:51.000Z,1731962247.2272599,E2ceFF2gzSlC7A
15,RG000000021,GCF_000854865.1,1,,,,,,Feline immunodeficiency virus,9474,,,11673,Feline immunodeficiency virus,,viruses,0,0,1,0,2017-06-06T15:12:37.000Z,2020-04-23T11:46:01.000Z,1731962247.2272599,4riA3zpu1nof5g
16,RG000000025,GCF_000849985.1,1,,,,,,Soil-borne wheat mosaic virus,10692,,,28375,Soil-borne wheat mosaic virus,,viruses,0,0,1,0,2017-06-06T15:12:52.000Z,2020-04-23T11:46:15.000Z,1731962247.2272599,jBcseuWlf5KMyQ
17,RG000000026,GCF_000852745.1,1,,,,,,Potato yellow vein virus,17266,,,103881,Potato yellow vein virus,,viruses,0,0,1,0,2017-06-06T15:12:57.000Z,2020-04-23T11:48:02.000Z,1731962247.2272599,ezZNV84T/qKWMQ
18,RG000000027,NC_038861.1,1,,,,complete-genome,,"Transmissible gastroenteritis virus complete genome, genomic RNA",28586,28586,,11149,Transmissible gastroenteritis virus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:53:10.000Z,1731962247.2272599,Td0PFvVcN9ZyYQ
19,RG000000028,NC_032730.1,1,,,,complete-genome,,"Lucheng Rn rat coronavirus isolate Lucheng-19, complete genome",28763,28763,,1508224,Lucheng Rn rat coronavirus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:12.000Z,1731962247.2272599,APlH0tXKN2zeIw
20,RG000000029,NC_032107.1,1,,,,complete-genome,,"NL63-related bat coronavirus strain BtKYNL63-9a, complete genome",28363,28363,,1920748,NL63-related bat coronavirus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:19.000Z,1731962247.2272599,H2pDhTinzLnt5Q
21,RG000000030,NC_030292.1,1,,,,complete-genome,,"Ferret coronavirus isolate FRCoV-NL-2010, complete genome",28434,28434,,1264898,Ferret coronavirus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:09.000Z,1731962247.2272599,7r0JDEZv9QtjyA
22,RG000000031,NC_028811.1,1,,,,complete-genome,,"BtMr-AlphaCoV/SAX2011, complete genome",27935,27935,,1503289,BtMr-AlphaCoV/SAX2011,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:12.000Z,1731962247.2272599,Ah2r3KtdM6sJVQ
23,RG000000032,NC_028806.1,1,,,,complete-genome,,"Swine enteric coronavirus strain Italy/213306/2009, complete genome",28111,28111,,1766554,Swine enteric coronavirus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:15.000Z,1731962247.2272599,vyj9qbnijgMWzw
24,RG000000033,NC_028752.1,1,,,,complete-genome,,"Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome",27395,27395,,1699095,Camel alphacoronavirus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:14.000Z,1731962247.2272599,wvr7ONdoeOMBKw
25,RG000000034,NC_023760.1,1,,,,complete-genome,,"Mink coronavirus strain WD1127, complete genome",28941,28941,,766791,Mink coronavirus strain WD1127,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:03.000Z,1731962247.2272599,VuyB50IEfBLi3A
26,RG000000035,NC_018871.1,1,,,,complete-genome,,"Rousettus bat coronavirus HKU10, complete genome",28494,28494,,1241933,Rousettus bat coronavirus HKU10,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:08.000Z,1731962247.2272599,0e2p+zCI2GltKQ
27,RG000000036,NC_002306.3,3,,,,complete-genome,,"Feline infectious peritonitis virus, complete genome",29355,29355,,11135,Feline infectious peritonitis virus (FIPV),,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:53:10.000Z,1731962247.2272599,7KbVma8Hvg7nMA
28,RG000000037,NC_010438.1,1,,,,complete-genome,,"Bat coronavirus HKU8, complete genome",28773,28773,,694001,Miniopterus bat coronavirus HKU8,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:02.000Z,1731962247.2272599,Ue5+enN88plaXA
29,RG000000038,NC_010437.1,1,,,,complete-genome,,"Bat coronavirus 1A, complete genome",28326,28326,,393767,Bat coronavirus 1A,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:55:55.000Z,1731962247.2272599,0xY1UTYtc9rc+g
30,RG000000039,NC_009988.1,1,,,,complete-genome,,"Bat coronavirus HKU2, complete genome",27165,27165,,693998,Rhinolophus bat coronavirus HKU2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:02.000Z,1731962247.2272599,TZSXxi2KyrubcQ
31,RG000000040,NC_009657.1,1,,,,complete-genome,,"Scotophilus bat coronavirus 512, complete genome",28203,28203,,693999,Scotophilus bat coronavirus 512,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:02.000Z,1731962247.2272599,t/lofc3yokLV9g
32,RG000000041,NC_005831.2,2,,,,complete-genome,,"Human Coronavirus NL63, complete genome",27553,27553,,277944,Human coronavirus NL63,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:55:49.000Z,1731962247.2272599,afoe8sLGccz73Q
33,RG000000042,NC_003436.1,1,,,,complete-genome,,"Porcine epidemic diarrhea virus, complete genome",28033,28033,,28295,Porcine epidemic diarrhea virus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:53:16.000Z,1731962247.2272599,GsOIS1tZPdktJg
34,RG000000043,NC_002645.1,1,,,,complete-genome,,"Human coronavirus 229E, complete genome",27317,27317,,11137,Human coronavirus 229E,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:53:10.000Z,1731962247.2272599,4mOt1B6fXipk1g
35,RG000000044,NC_006577.2,2,,,,complete-genome,,"Human coronavirus HKU1, complete genome",29926,29926,,290028,Human coronavirus HKU1,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:55:51.000Z,1731962247.2272599,bh1PXxEgj0NpnA
36,RG000000045,NC_019843.3,3,,,,complete-genome,,"Middle East respiratory syndrome coronavirus, complete genome",30119,30119,,1335626,Middle East respiratory syndrome-related coronavirus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:10.000Z,1731962247.2272599,mbvM//qV93GfkA
37,RG000000046,NC_004718.3,3,,,,complete-genome,,"SARS coronavirus, complete genome",29751,29751,,694009,Severe acute respiratory syndrome-related coronavirus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:02.000Z,1731962247.2272599,oQv1R/wGK2EWxA
38,RG000000047,NC_009021.1,1,,,,complete-genome,,"Bat coronavirus HKU9-1, complete genome",29114,29114,,694006,Rousettus bat coronavirus HKU9,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:02.000Z,1731962247.2272599,v8oegE5q/tncQA
39,RG000000048,NC_009020.1,1,,,,complete-genome,,"Bat coronavirus HKU5-1, complete genome",30482,30482,,694008,Pipistrellus bat coronavirus HKU5,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:02.000Z,1731962247.2272599,Vw6xHrr4GYVWMQ
40,RG000000049,NC_009019.1,1,,,,complete-genome,,"Bat coronavirus HKU4-1, complete genome",30286,30286,,694007,Tylonycteris bat coronavirus HKU4,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:02.000Z,1731962247.2272599,1Y0cmfn96zishQ
41,RG000000050,NC_001846.1,1,,,,complete-genome,,"Mouse hepatitis virus strain MHV-A59 C12 mutant, complete genome",31357,31357,,11138,Murine hepatitis virus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:53:10.000Z,1731962247.2272599,X0TfDPhucNiHEQ
42,RG000000051,NC_045512.2,2,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",29903,29903,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,0Ne2rAgnbpFzDQ
43,RG000000052,NC_006213.1,1,,,,complete-genome,,"Human coronavirus OC43 strain ATCC VR-759, complete genome",30741,30741,,31631,Human coronavirus OC43,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:53:32.000Z,1731962247.2272599,PgEHnll9+yUIpw
44,RG000000053,NC_038294.1,1,,,,complete-genome,,"Betacoronavirus England 1, complete genome",30111,30111,,1263720,Betacoronavirus England 1,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:09.000Z,1731962247.2272599,RPHCIQSnFNRzCQ
45,RG000000054,NC_030886.1,1,,,,complete-genome,,"Rousettus bat coronavirus isolate GCCDC1 356, complete genome",30161,30161,,1892416,Rousettus bat coronavirus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:18.000Z,1731962247.2272599,tFsFWM3LU+S+jg
46,RG000000055,AC_000192.1,1,,,,complete-genome,,"Murine hepatitis virus strain JHM, complete genome",31526,31526,,11144,Murine hepatitis virus strain JHM,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:53:10.000Z,1731962247.2272599,zOII6Vp7MqkYSg
47,RG000000056,NC_012936.1,1,,,,complete-genome,,"Rat coronavirus Parker, complete genome",31250,31250,,502102,Rat coronavirus Parker,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:55:58.000Z,1731962247.2272599,y8s0GK3sVpm38Q
48,RG000000057,NC_003045.1,1,,,,complete-genome,,"Bovine coronavirus, complete genome",31028,31028,,11128,Bovine coronavirus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:53:10.000Z,1731962247.2272599,ukZiaj6Y7Z8fZg
49,RG000000058,NC_026011.1,1,,,,complete-genome,,"Betacoronavirus HKU24 strain HKU24-R05005I, complete genome",31249,31249,,1590370,Betacoronavirus HKU24,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:13.000Z,1731962247.2272599,5iyuOg4cFptSzQ
50,RG000000059,NC_025217.1,1,,,,complete-genome,,"Bat Hp-betacoronavirus/Zhejiang2013, complete genome",31491,31491,,1541205,Bat Hp-betacoronavirus/Zhejiang2013,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:12.000Z,1731962247.2272599,HF6jsfHwziNmEw
51,RG000000060,NC_039207.1,1,,,,complete-genome,,"Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-174/GER/2012, complete genome",30148,30148,,1385427,Betacoronavirus Erinaceus/VMC/DEU/2012,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:10.000Z,1731962247.2272599,aujT1mbudj8CPw
52,RG000000061,NC_010646.1,1,,,,complete-genome,,"Beluga Whale coronavirus SW1, complete genome",31686,31686,,694015,Beluga Whale coronavirus SW1,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:02.000Z,1731962247.2272599,9HAC2HhMEspqtw
53,RG000000062,NC_001451.1,1,,,,complete-genome,,"Avian infectious bronchitis virus, complete genome",27608,27608,,11120,Infectious bronchitis virus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:53:10.000Z,1731962247.2272599,Km6gACorjia2zg
54,RG000000063,NC_010800.1,1,,,,complete-genome,,"Turkey coronavirus, complete genome",27657,27657,,11152,Turkey coronavirus,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:53:10.000Z,1731962247.2272599,PQpmFTeqeKSwxg
55,RG000000064,NC_016995.1,1,,,,complete-genome,,"Wigeon coronavirus HKU20, complete genome",26227,26227,,1159908,Wigeon coronavirus HKU20,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:07.000Z,1731962247.2272599,Jp4Xdczj9kXYpg
56,RG000000065,NC_016996.1,1,,,,complete-genome,,"Common-moorhen coronavirus HKU21, complete genome",26223,26223,,1159902,Common moorhen coronavirus HKU21,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:07.000Z,1731962247.2272599,Ex9gyPljERglTQ
57,RG000000066,NC_016994.1,1,,,,complete-genome,,"Night-heron coronavirus HKU19, complete genome",26077,26077,,1159904,Night heron coronavirus HKU19,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:07.000Z,1731962247.2272599,UUekklT7HJQ/wg
58,RG000000067,NC_016991.1,1,,,,complete-genome,,"White-eye coronavirus HKU16, complete genome",26041,26041,,1159907,White-eye coronavirus HKU16,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:07.000Z,1731962247.2272599,HFYTNQzgCWqxqA
59,RG000000068,NC_039208.1,1,,,,complete-genome,,"Porcine coronavirus HKU15 strain HKU15-155, complete genome",25425,25425,,1159905,Porcine coronavirus HKU15,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:07.000Z,1731962247.2272599,silTtm5IGENUNQ
60,RG000000069,NC_011547.1,1,,,,complete-genome,,"Bulbul coronavirus HKU11-934, complete genome",26487,26487,,572288,Bulbul coronavirus HKU11-934,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:55:59.000Z,1731962247.2272599,DniVR4RRu2OuCw
61,RG000000070,NC_011550.1,1,,,,complete-genome,,"Munia coronavirus HKU13-3514, complete genome",26552,26552,,572289,Munia coronavirus HKU13-3514,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:55:59.000Z,1731962247.2272599,3BcUI7U83wr1KQ
62,RG000000071,LC528232.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/DP/Kng/19-020 RNA, complete genome",29902,29902,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,ym7V7zEK6dqiWw
63,RG000000072,LC528233.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/DP/Kng/19-027 RNA, complete genome",29902,29902,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,fS+NnneA4aYp6Q
64,RG000000073,LC529905.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 TKYE6182_2020 RNA, complete genome",29903,29903,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,I6ftEpsgI0XuQw
65,RG000000074,LR757995.1,1,,,,chromosome,,"Wuhan seafood market pneumonia virus genome assembly, chromosome: whole_genome",29872,29872,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,SRWurO9cEag59Q
66,RG000000075,LR757998.1,1,,,,chromosome,,"Wuhan seafood market pneumonia virus genome assembly, chromosome: whole_genome",29866,29866,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,EcgGAHUdYZ+Kgw
67,RG000000076,MN908947.3,3,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",29903,29903,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,3,7,0,0,2020-05-06T14:56:57.000Z,2021-06-14T15:32:13.000Z,1731962247.2272599,qRlYrKEXzLraLA
68,RG000000077,MN938384.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-002a_2020, complete genome",29838,29838,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,03pGG4okDPkrkQ
69,RG000000078,MN975262.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-005b_2020, complete genome",29891,29891,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,4ARv5zpCtNQ2Og
70,RG000000079,MN988713.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-IL1/2020, complete genome",29882,29882,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,BmcNmVny6FgRvg
71,RG000000080,MN994467.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA1/2020, complete genome",29882,29882,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,Yf6mvinIg+lnbQ
72,RG000000081,MN994468.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA2/2020, complete genome",29883,29883,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,WYeWzlfbtI6qwA
73,RG000000082,MN996527.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate WIV02, complete genome",29825,29825,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,r1j6fe3IDD81yg
74,RG000000083,MN996529.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate WIV05, complete genome",29852,29852,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,xWT1KiSjhyk3rg
75,RG000000084,MN996531.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate WIV07, complete genome",29857,29857,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,z/vvu0HtpKxkHA
76,RG000000085,MN997409.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-AZ1/2020, complete genome",29882,29882,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,GBfFF5nZsBRiXQ
77,RG000000086,MT007544.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate Australia/VIC01/2020, complete genome",29893,29893,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,CqUoy18HlwAWww
78,RG000000087,MT012098.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/29/2020, complete genome",29854,29854,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,0i5IEkBfmw38KQ
79,RG000000088,MT019529.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-01/2019, complete genome",29899,29899,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,gBwtEQBayh0HQw
80,RG000000089,MT019530.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-02/2019, complete genome",29889,29889,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,VISGvSAoOl250A
81,RG000000090,MT019531.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-03/2019, complete genome",29899,29899,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,g+urY5pwn1lUxQ
82,RG000000091,MT019533.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-05/2020, complete genome",29883,29883,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,P6P/JRxHP9D/tQ
83,RG000000092,MT020781.2,2,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate nCoV-FIN-29-Jan-2020, partial genome",29806,29806,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,UpEiShLZaVdmUw
84,RG000000093,MT020881.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-WA1-F6/2020, complete genome",29882,29882,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,tTesQMqkYx0Sag
85,RG000000094,MT027063.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA4/2020, complete genome",29882,29882,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,RfBgSslRrds0mA
86,RG000000095,MT027064.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA5/2020, complete genome",29882,29882,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,z4lQQ1ys+W91IQ
87,RG000000096,MT039887.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-WI1/2020, complete genome",29879,29879,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,uTLM/jnzZKJ9fA
88,RG000000097,MT039888.1,1,,,,complete-genome,,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-MA1/2020, complete genome",29882,29882,,2697049,Severe acute respiratory syndrome coronavirus 2,,Viruses,0,0,0,0,2020-05-06T14:56:57.000Z,2024-09-10T04:56:24.000Z,1731962247.2272599,olzC5JV9bm1tHQ
